individual	length	sex
1	5.44	female
2	5.56	female
3	4.52	female
4	4.86	female
5	2.95	female
6	4.61	female
7	4.61	female
8	5.60	female
9	4.65	female
10	3.61	female
11	3.82	female
12	5.02	female
13	4.36	female
14	3.86	female
15	4.03	female
16	4.61	female
17	5.35	female
18	3.49	female
19	4.32	female
20	4.48	female
21	3.40	female
22	5.89	female
23	4.44	female
24	5.10	female
25	2.61	female
26	5.27	female
27	5.31	female
28	4.65	female
29	5.73	female
30	5.15	female
31	4.90	female
32	5.44	female
33	5.44	female
34	3.94	female
35	3.78	female
36	4.23	female
37	2.95	female
38	5.06	female
39	4.57	female
40	4.03	female
41	4.15	female
42	3.49	female
43	4.15	female
44	3.65	female
45	3.44	female
46	6.14	female
47	5.10	female
48	3.90	female
49	4.48	female
50	4.03	female
51	4.07	female
52	4.65	female
53	5.93	female
54	4.65	female
55	8.01	male
56	5.48	male
57	7.01	male
58	7.14	male
59	7.22	male
60	6.31	male
61	6.35	male
62	7.72	male
63	7.93	male
64	6.97	male
65	6.23	male
66	7.26	male
67	7.55	male
68	6.35	male
69	6.39	male
70	7.10	male
71	4.32	male
72	5.48	male
73	6.93	male
74	4.86	male
75	5.40	male
76	8.30	male
77	6.39	male
78	7.89	male
79	5.64	male
80	4.69	male
81	5.06	male
82	6.02	male
83	5.31	male
84	6.60	male
85	7.59	male
86	5.81	male
87	6.23	male
88	7.06	male
89	4.61	male
90	5.81	male
91	4.23	male
92	9.21	male
93	3.94	male
94	4.19	male
95	4.81	male
96	4.65	male
97	6.68	male
98	6.97	male
99	5.69	male
100	6.68	male
101	7.93	male
102	8.13	male
103	6.43	male
104	5.15	male
105	7.06	male
106	4.94	male
107	6.85	male
108	4.48	male
109	3.98	male
110	5.35	male
111	4.19	male
112	5.23	male
113	4.98	male
114	5.98	male
