Growth,Location,Tank
0,Top,1
0,Top,1
1,Top,1
1,Top,1
1,Top,1
0,Top,1
0,Top,1
1,Top,1
0,Top,1
0,Top,1
0,Top,1
0,Top,1
0,Top,1
0,Top,1
0,Top,1
1,Top,1
1,Top,1
0,Top,1
0,Top,1
0,Top,1
0,Top,1
1,Top,1
1,Top,1
0,Top,1
1,Top,1
0,Top,1
0,Top,1
0,Top,1
0,Top,1
1,Top,1
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
1,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
1,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
1,Bottom,0
0,Bottom,0
0,Bottom,0
0,Bottom,0
